text,labels
I'm listening,0
answer me,1
I'd like to hear more,0
if I may interrupt,1
oh,0
she has a cat,1
leave it here,1
before you continue,1
why not?,1
hurry up,1
how come?,1
seriously?,0
uh,0
might be?,0
open the door,1
can I stop you there?,1
mm-hmm,0
before you continue,1
who knows?,1
tell me more,0
I am feeling tired,1
seriously?,0
allow me to jump in,1
I am feeling tired,1
what happened next?,0
he is a good friend,1
what do you mean?,1
who knows?,1
answer me,1
answer me,1
the project is due tomorrow,1
let me say something,1
the project is due tomorrow,1
he is a good friend,1
it costs too much,1
call him now,1
allow me to jump in,1
wait a minute,1
if I may interrupt,1
where are they now?,1
who knows?,1
he is a good friend,1
"wait, wait",1
"sorry, but",1
what is your name?,1
show me the way,1
leave it here,1
he is a good friend,1
wait a minute,1
is that so?,0
what is your name?,1
I finished my homework,1
can I stop you there?,1
they are coming over,1
it is raining outside,1
what happened next?,0
send me the file,1
this is important,1
he is a good friend,1
it costs too much,1
one moment,1
stop talking,1
what happened?,1
how does it work?,1
we need more time,1
how come?,1
allow me to jump in,1
where did you find it?,1
ah,0
it is raining outside,1
keep going,0
let me say something,1
they moved to a new house,1
when can we meet?,1
call him now,1
yeah,0
before you continue,1
I am feeling tired,1
and then?,0
open the door,1
mm-hmm,0
what is your name?,1
repeat that,1
why is that?,1
"sorry, but",1
one moment,1
we need more time,1
who said that?,1
before you continue,1
huh?,0
leave it here,1
I finished my homework,1
he is a good friend,1
it costs too much,1
let me interrupt,1
how come?,1
they moved to a new house,1
we met yesterday,1
repeat that,1
what happened?,1
hang on,1
I love ice cream,1
"sorry, but",1
when can we meet?,1
true,0
you mean it?,0
repeat that,1
"sorry, but",1
it is raining outside,1
er,0
I finished my homework,1
that's correct,0
leave it here,1
what is your name?,1
stop talking,1
where do you live?,1
where are they now?,1
keep talking,0
what happened?,1
start the presentation,1
don't stop,0
one moment,1
give me the details,1
he is a good friend,1
"wait, wait",1
is that right?,0
call him now,1
tell me the truth,1
this looks great,1
what is your name?,1
how does it work?,1
this is important,1
I finished my homework,1
what is your name?,1
what happened?,1
write it down,1
what happened?,1
he will join us later,1
where did you find it?,1
hold on,1
when can we meet?,1
ah,0
definitely,0
I finished my homework,1
stop talking,1
open the door,1
when can we meet?,1
this is important,1
who knows?,1
one moment,1
true,0
allow me to jump in,1
hang on,1
what happened?,1
it is raining outside,1
show me the way,1
sorry to interrupt,1
where do you live?,1
who are you?,1
hurry up,1
just a second,1
"sorry, but",1
who knows?,1
one moment,1
send me the file,1
might be?,0
yeah,0
um,0
tell me the truth,1
what happened?,1
repeat that,1
open the door,1
hold that thought,1
what do you mean?,1
show me the way,1
leave it here,1
carry on,0
who are you?,1
write it down,1
where do you live?,1
seriously?,0
tell me the truth,1
